,list_price,bathrooms,sqft,parking,mean_district_income,district_code,final_price_transformed,final_price_log,bedrooms_ag,bedrooms_bg
6272,329900,1,550.0,0,45737,84,2.3886952479904453,12.904207367601158,2,0
6273,649900,1,650.0,0,70600,77,2.39067810572751,13.37700559577791,1,0
6274,759000,2,1300.0,2,49709,90,2.3913937445815328,13.573438996764546,5,0
6275,725000,4,1750.0,2,35786,43,2.391184798483604,13.514405465180351,3,0
6278,599900,2,850.0,1,44576,37,2.3903799012064733,13.29967239237474,2,0
6279,728800,2,1300.0,0,30430,61,2.3912564039755693,13.534473028231162,3,0
6281,649000,2,750.0,1,70623,82,2.3905883847744755,13.353475098367715,1,1
6282,599000,1,550.0,0,39740,93,2.3901967870468037,13.253391639810731,1,0
6283,819000,2,850.0,1,70600,77,2.391459654021177,13.592365756649285,2,0
6284,1649000,2,1700.0,1,34597,72,2.393611688101816,14.31020679980038,2,0
6286,549000,1,650.0,1,35207,85,2.3900456489876314,13.215853720491667,2,0
6287,768000,3,1750.0,1,31826,117,2.3912422449462896,13.530491602931978,3,0
6288,468000,1,550.0,0,70623,82,2.389440054176116,13.071070083016778,1,0
6289,1249000,2,2250.0,0,50580,86,2.393239487028356,14.169682371684887,4,1
6290,104900,1,850.0,1,25989,24,2.3802266385850457,11.542484267211773,2,0
6291,720000,2,650.0,1,57465,88,2.3910607676875486,13.480037821676143,1,1
6294,658800,2,850.0,1,44576,37,2.390618625126211,13.36138027787483,2,0
6296,710000,2,750.0,1,70600,77,2.390957032629545,13.45166712454693,2,0
6300,399000,1,750.0,1,85099,102,2.388774726934224,12.921470435024938,1,0
6301,825000,2,950.0,0,53583,75,2.391459658356962,13.592367006650065,2,0
6303,465000,1,550.0,1,29958,27,2.389300818218745,13.038981768465275,1,0
6304,549900,3,1500.0,1,27984,25,2.390052293484488,13.217491722495906,3,1
6305,1188000,2,950.0,1,70600,77,2.3926917251781443,13.976778705560395,2,0
6306,415000,2,1100.0,1,31826,117,2.3888413332954404,12.936033799212836,3,0
